ID,RA,Dec,k80mag,e80mag,Jmag,eJmag,jMINUSeightzero,ERRORjMINUSeightzero
14970,296.20914,-14.83658,16.34,0.2,19.101,0.134,2.761,0.240740524
14974,296.13755,-14.79431,15.47,0.11,18.831,0.106,3.361,0.152761252
14979,296.31183,-14.73901,16.89,0.23,19.713,0.217,2.823,0.316210373
14983,296.35354,-14.83505,16.52,0.24,19.001,0.098,2.481,0.259237343
14985,296.20953,-14.78682,16.75,0.17,19.359,0.166,2.609,0.237604714
14988,296.24928,-14.74459,16.67,0.15,19.146,0.137,2.476,0.203147729
14994,296.18554,-14.81113,16.57,0.23,19.023,0.125,2.453,0.261772802
14999,296.34903,-14.7808,16.09,0.23,18.892,0.089,2.802,0.24661914
15006,296.13999,-14.77278,16.24,0.17,18.672,0.093,2.432,0.193775643
15008,296.17907,-14.84609,16.28,0.12,18.892,0.112,2.612,0.164146276
15012,296.08027,-14.72913,16.67,0.14,18.942,0.131,2.272,0.191731583
15016,296.14852,-14.73888,16.79,0.21,18.749,0.098,1.959,0.231741235
15022,296.13271,-14.74158,15.5,0.16,18.854,0.107,3.354,0.192481168
15023,296.24515,-14.76478,16.36,0.22,18.63,0.089,2.27,0.237320458
15024,296.19627,-14.77871,16.75,0.24,18.839,0.107,2.089,0.262771764
15025,296.07423,-14.82489,15.98,0.17,19.223,0.167,3.243,0.238304427
15028,296.40845,-14.90383,15.74,0.15,18.963,0.095,3.223,0.177552809
15030,296.20944,-14.67628,16.63,0.26,18.715,0.091,2.085,0.275465061
15032,296.35327,-14.85569,16.27,0.16,18.594,0.07,2.324,0.174642492
15036,296.34454,-14.86207,16.29,0.16,18.771,0.081,2.481,0.179334882
15038,296.20812,-14.80841,16.95,0.25,19.291,0.158,2.341,0.295743132
15048,296.41814,-14.87668,15.71,0.16,18.305,0.055,2.595,0.169189243
15049,296.30068,-14.85747,15.98,0.1,18.976,0.117,2.996,0.153912313
15061,296.18854,-14.73487,16.43,0.19,19.859,0.247,3.429,0.31162317
15063,296.30799,-14.69164,16.68,0.26,18.927,0.108,2.247,0.28153863
15064,296.24548,-14.82495,13.34,0.06,19,0.122,5.66,0.135955875
15067,296.2077,-14.85943,15.44,0.15,18.154,0.06,2.714,0.161554944
15070,296.08674,-14.88969,15.7,0.15,18.889,0.126,3.189,0.195897933
15074,296.20916,-14.78996,16.08,0.15,19.154,0.141,3.074,0.205866462
15075,296.2593,-14.80801,15.6,0.1,19.048,0.127,3.448,0.161644672
15085,296.26607,-14.89158,17.03,0.27,18.736,0.097,1.706,0.286895451
15087,296.15804,-14.80159,16.51,0.15,18.406,0.074,1.896,0.167260276
15088,296.05393,-14.75815,15.89,0.11,18.973,0.135,3.083,0.174140748
15090,296.27419,-14.80916,15.83,0.12,19.19,0.142,3.36,0.185913959
15093,296.18738,-14.91093,16.39,0.22,18.891,0.111,2.501,0.246416314
15097,296.15096,-14.71491,16.06,0.14,18.907,0.107,2.847,0.176207264
15101,296.10202,-14.68385,16.44,0.19,19.067,0.122,2.627,0.225796368
15102,296.20854,-14.76847,16,0.11,18.739,0.099,2.739,0.147989865
15108,296.22077,-14.76614,16.05,0.13,19.504,0.188,3.454,0.228569464
15111,296.08773,-14.78442,16.87,0.27,19.224,0.166,2.354,0.316947945
15113,296.32208,-14.7464,16.13,0.1,18.726,0.078,2.596,0.126822711
15119,296.13598,-14.66258,16.67,0.26,18.815,0.098,2.145,0.277856078
15120,296.34872,-14.88142,16.63,0.12,18.679,0.075,2.049,0.141509717
15128,296.20531,-14.84423,16.4,0.23,19.324,0.162,2.924,0.281325434
15137,296.20138,-14.78948,16.79,0.26,18.857,0.109,2.067,0.281923749
15141,296.23194,-14.95089,15.12,0.23,18.86,0.107,3.74,0.253671047
15142,296.11855,-14.85689,16.46,0.23,18.918,0.115,2.458,0.257147817
15144,296.15865,-14.87931,16.27,0.16,19.052,0.128,2.782,0.204899976
15145,296.29101,-14.72873,16.12,0.2,19.097,0.131,2.977,0.239083667
15148,296.23095,-14.88761,16.47,0.2,18.916,0.113,2.446,0.229715041
15150,296.35076,-14.83132,16.36,0.15,18.808,0.083,2.448,0.171432202
