ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk,ID,CMD1region
150,296.20534,-14.93589,13.498,0.003,12.921,0.003,0.577,0.004242641,2557,1
152,296.39757,-14.8723,13.252,0.003,12.923,0.002,0.329,0.003605551,2561,1
153,296.25735,-14.77634,18.777,0.1,15.449,0.012,3.328,0.100717426,2563,1
154,296.31736,-14.65804,13.388,0.002,13.088,0.003,0.3,0.003605551,2565,1
155,296.24588,-14.90415,13.53,0.003,12.982,0.003,0.548,0.004242641,2573,1
156,296.25803,-14.88435,13.479,0.003,12.934,0.003,0.545,0.004242641,2577,1
157,296.11884,-14.84249,13.544,0.003,12.966,0.003,0.578,0.004242641,2578,1
158,296.14856,-14.70173,14.046,0.004,13.166,0.003,0.88,0.005,2587,1
159,296.19461,-14.78725,13.569,0.003,13.075,0.003,0.494,0.004242641,2590,1
160,296.23629,-14.77728,13.568,0.003,13.038,0.003,0.53,0.004242641,2591,1
161,296.21526,-14.73115,13.922,0.004,13.039,0.003,0.883,0.005,2594,1
164,296.36525,-14.7382,18.52,0.066,15.162,0.009,3.358,0.06661081,2605,1
166,296.1265,-14.81,14.329,0.005,13.485,0.004,0.844,0.006403124,2606,1
167,296.13371,-14.82412,14.027,0.004,13.115,0.003,0.912,0.005,2612,1
168,296.24279,-14.7642,14.113,0.004,13.186,0.003,0.927,0.005,2616,1
172,296.32972,-14.92623,13.357,0.003,12.973,0.003,0.384,0.004242641,2626,1
175,296.22696,-14.80182,14.258,0.004,13.268,0.003,0.99,0.005,2641,1
176,296.40753,-14.89033,13.694,0.003,13.045,0.003,0.649,0.004242641,2642,1
177,296.16735,-14.9056,13.465,0.003,13.084,0.003,0.381,0.004242641,2643,1
178,296.06714,-14.76498,14.229,0.005,13.42,0.004,0.809,0.006403124,2650,1
179,296.23553,-14.84629,13.946,0.004,13.171,0.003,0.775,0.005,2652,1
180,296.35531,-14.71987,17.886,0.04,15.039,0.009,2.847,0.041,2675,1
181,296.22557,-14.86952,13.496,0.003,13.07,0.003,0.426,0.004242641,2683,1
183,296.31567,-14.72938,13.505,0.003,13.224,0.003,0.281,0.004242641,2684,1
184,296.26161,-14.71581,13.586,0.003,13.19,0.003,0.396,0.004242641,2695,1
185,296.30179,-14.78288,13.747,0.003,13.213,0.003,0.534,0.004242641,2697,1
186,296.20653,-14.67403,13.565,0.003,13.185,0.003,0.38,0.004242641,2699,1
188,296.2509,-14.76778,15.313,0.008,14.119,0.005,1.194,0.009433981,2705,1
190,296.40985,-14.75052,13.495,0.003,13.142,0.003,0.353,0.004242641,2707,1
191,296.03356,-14.70361,13.523,0.003,13.162,0.003,0.361,0.004242641,2711,1
192,296.19774,-14.6597,13.57,0.003,13.225,0.003,0.345,0.004242641,2731,1
193,296.24721,-14.69463,13.773,0.003,13.171,0.003,0.602,0.004242641,2734,1
195,296.30012,-14.71033,13.821,0.003,13.215,0.003,0.606,0.004242641,2739,1
196,296.309,-14.85947,14.252,0.004,13.481,0.003,0.771,0.005,2740,1
197,296.40063,-14.87922,13.838,0.003,13.295,0.003,0.543,0.004242641,2743,1
199,296.11576,-14.74815,13.62,0.003,13.199,0.003,0.421,0.004242641,2746,1
200,296.38882,-14.79354,13.586,0.003,13.308,0.003,0.278,0.004242641,2747,1
201,296.1635,-14.84707,13.583,0.003,13.182,0.003,0.401,0.004242641,2754,1
202,296.13706,-14.91463,13.503,0.003,13.252,0.003,0.251,0.004242641,2757,1
203,296.19679,-14.7511,18.738,0.098,15.035,0.009,3.703,0.098412398,2759,1
204,296.11019,-14.88392,13.568,0.003,13.227,0.003,0.341,0.004242641,2769,1
206,296.29761,-14.73668,11.908,0.001,11.631,0.001,0.277,0.001414214,2780,1
207,296.18557,-14.70642,13.882,0.003,13.351,0.003,0.531,0.004242641,2782,1
208,296.12048,-14.81758,13.78,0.003,13.24,0.003,0.54,0.004242641,2789,1
209,296.2873,-14.77703,14.161,0.004,13.422,0.003,0.739,0.005,2790,1
210,296.14173,-14.77325,15.021,0.007,13.87,0.004,1.151,0.008062258,2797,1
211,296.2401,-14.80786,14.68,0.005,13.843,0.004,0.837,0.006403124,2798,1
212,296.17146,-14.80235,14.067,0.004,13.267,0.003,0.8,0.005,2801,1
213,296.19626,-14.7814,13.612,0.003,13.235,0.003,0.377,0.004242641,2804,1
214,296.37221,-14.68648,13.53,0.003,13.151,0.003,0.379,0.004242641,2806,1
215,296.30174,-14.65182,14.223,0.004,13.426,0.003,0.797,0.005,2817,1
216,296.31953,-14.91435,13.649,0.003,13.301,0.003,0.348,0.004242641,2822,1
217,296.28427,-14.92138,14.302,0.004,13.352,0.003,0.95,0.005,2828,1
218,296.34423,-14.78912,14.146,0.004,13.373,0.003,0.773,0.005,2839,1
219,296.09573,-14.78005,14.011,0.004,13.265,0.003,0.746,0.005,2849,1
220,296.15201,-14.94864,13.623,0.003,13.261,0.003,0.362,0.004242641,2857,1
222,296.34431,-14.84268,13.603,0.003,13.318,0.003,0.285,0.004242641,2866,1
223,296.20767,-14.7587,13.781,0.003,13.315,0.003,0.466,0.004242641,2867,1
224,296.26949,-14.736,13.666,0.003,13.37,0.003,0.296,0.004242641,2872,1
225,296.33233,-14.83996,13.714,0.003,13.402,0.003,0.312,0.004242641,2874,1
227,296.41454,-14.87259,13.676,0.003,13.314,0.003,0.362,0.004242641,2882,1
228,296.05884,-14.84961,14.149,0.005,13.356,0.003,0.793,0.005830952,2886,1
229,296.43103,-14.81664,13.858,0.003,13.41,0.003,0.448,0.004242641,2890,1
231,296.19331,-14.87334,13.733,0.003,13.351,0.003,0.382,0.004242641,2897,1
232,296.0956,-14.69531,14.063,0.004,13.388,0.003,0.675,0.005,2902,1
233,296.35544,-14.90595,13.636,0.003,13.118,0.003,0.518,0.004242641,2904,1
235,296.11722,-14.77097,13.867,0.004,13.382,0.003,0.485,0.005,2908,1
237,296.30445,-14.71568,13.671,0.003,13.324,0.003,0.347,0.004242641,2909,1
238,296.18633,-14.84361,13.617,0.003,13.331,0.003,0.286,0.004242641,2913,1
240,296.25303,-14.87006,13.957,0.004,13.375,0.003,0.582,0.005,2915,1
241,296.25226,-14.80746,14.533,0.005,13.539,0.004,0.994,0.006403124,2916,1
242,296.42704,-14.88821,13.829,0.003,13.417,0.003,0.412,0.004242641,2926,1
243,296.15348,-14.74935,17.719,0.042,14.88,0.008,2.839,0.042755117,2928,1
244,296.34877,-14.75449,13.99,0.004,13.403,0.003,0.587,0.005,2929,1
245,296.4125,-14.84521,13.82,0.003,13.459,0.003,0.361,0.004242641,2930,1
246,296.37153,-14.78017,14.177,0.004,13.483,0.003,0.694,0.005,2938,1
247,296.2457,-14.70599,13.833,0.003,13.351,0.003,0.482,0.004242641,2940,1
248,296.20426,-14.74264,15.048,0.007,13.874,0.004,1.174,0.008062258,2944,1
249,296.33663,-14.673,12.379,0.001,12.08,0.002,0.299,0.002236068,2945,1
250,296.1676,-14.68357,14.448,0.004,13.61,0.004,0.838,0.005656854,2956,1
251,296.31726,-14.77645,14.135,0.004,13.46,0.003,0.675,0.005,2957,1
254,296.13894,-14.95596,13.968,0.004,13.381,0.003,0.587,0.005,2962,1
255,296.32013,-14.82705,14.297,0.004,13.509,0.003,0.788,0.005,2963,1
256,296.07998,-14.67209,14.206,0.004,13.468,0.003,0.738,0.005,2965,1
257,296.21488,-14.72236,14.406,0.004,13.415,0.003,0.991,0.005,2967,1
258,296.18769,-14.85518,14.372,0.005,13.466,0.003,0.906,0.005830952,2975,1
259,296.401,-14.75546,13.802,0.003,13.443,0.003,0.359,0.004242641,2976,1
260,296.09264,-14.72852,14.198,0.004,13.444,0.003,0.754,0.005,2979,1
261,296.24239,-14.749,14.502,0.005,13.595,0.004,0.907,0.006403124,2988,1
262,296.25351,-14.76931,17.572,0.037,15.035,0.009,2.537,0.038078866,2993,1
263,296.19153,-14.89907,13.962,0.004,13.41,0.003,0.552,0.005,2994,1
265,296.10025,-14.82748,13.879,0.004,13.433,0.003,0.446,0.005,2999,1
266,296.12848,-14.71323,14.06,0.004,13.46,0.003,0.6,0.005,3004,1
267,296.24315,-14.75707,13.94,0.004,13.5,0.004,0.44,0.005656854,3006,1
269,296.31622,-14.73153,13.745,0.003,13.476,0.003,0.269,0.004242641,3009,1
270,296.16417,-14.701,18.739,0.093,15.354,0.01,3.385,0.093536089,3011,1
271,296.27038,-14.77835,13.812,0.003,13.492,0.004,0.32,0.005,3012,1
273,296.1708,-14.72217,13.801,0.003,13.499,0.003,0.302,0.004242641,3016,1
275,296.13597,-14.94001,13.988,0.004,13.476,0.003,0.512,0.005,3018,1
277,296.17905,-14.75675,13.854,0.004,13.499,0.004,0.355,0.005656854,3023,1
278,296.34134,-14.74785,13.845,0.003,13.418,0.003,0.427,0.004242641,3024,1
280,296.23244,-14.75838,14.633,0.005,13.611,0.004,1.022,0.006403124,3032,1
281,296.23075,-14.73873,14.065,0.004,13.515,0.004,0.55,0.005656854,3035,1
283,296.214,-14.91497,13.752,0.003,13.469,0.003,0.283,0.004242641,3038,1
285,296.33274,-14.63516,13.904,0.003,13.509,0.003,0.395,0.004242641,3040,1
286,296.27052,-14.73476,17.683,0.041,15.153,0.01,2.53,0.042201896,3046,1
288,296.34366,-14.89129,13.707,0.003,13.389,0.003,0.318,0.004242641,3050,1
290,296.07329,-14.72656,14.07,0.004,13.501,0.004,0.569,0.005656854,3052,1
292,296.2766,-14.82672,14.022,0.004,13.544,0.004,0.478,0.005656854,3064,1
293,296.39367,-14.83433,14.419,0.005,13.617,0.004,0.802,0.006403124,3067,1
294,296.23542,-14.90411,13.784,0.003,13.38,0.003,0.404,0.004242641,3070,1
295,296.15476,-14.81254,13.662,0.003,12.997,0.003,0.665,0.004242641,3077,1
296,296.28904,-14.77434,14.038,0.004,13.547,0.004,0.491,0.005656854,3078,1
297,296.18016,-14.83968,13.951,0.004,13.419,0.003,0.532,0.005,3081,1
298,296.03842,-14.67612,13.439,0.003,13.129,0.003,0.31,0.004242641,3082,1
299,296.26108,-14.73758,17.45,0.034,15.07,0.009,2.38,0.035171011,3083,1
300,296.13803,-14.91596,13.911,0.004,13.478,0.004,0.433,0.005656854,3085,1
301,296.17886,-14.78595,13.834,0.004,13.541,0.004,0.293,0.005656854,3089,1
303,296.2921,-14.66876,14.334,0.004,13.593,0.003,0.741,0.005,3091,1
304,296.15225,-14.71613,14.003,0.004,13.584,0.003,0.419,0.005,3096,1
305,296.12903,-14.9471,13.866,0.004,13.447,0.004,0.419,0.005656854,3098,1
306,296.31017,-14.79079,13.924,0.004,13.579,0.004,0.345,0.005656854,3109,1
309,296.38257,-14.899,14.082,0.004,13.557,0.003,0.525,0.005,3113,1
310,296.06265,-14.91868,14.024,0.004,13.583,0.004,0.441,0.005656854,3120,1
