ID,CMD3region,RA,Dec,k36mag,e36mag,k80mag,e80mag,threesixMINUSeightzero,ERRORthreesixMINUSeightzero
4362,5,296.254,-14.79534,16.28,0.06,14.48,0.1,1.8,0.116619038
4380,5,296.44891,-14.90462,16.89,0.05,14.7,0.11,2.19,0.12083046
4401,5,296.15694,-14.75571,17.06,0.09,13.91,0.05,3.15,0.102956301
4403,5,296.21344,-14.87995,16.59,0.08,13.81,0.1,2.78,0.128062485
4426,5,296.11631,-14.67289,17.08,0.08,14.34,0.03,2.74,0.085440037
4456,5,296.33387,-14.8988,16.39,0.09,14.67,0.08,1.72,0.120415946
4467,5,296.35824,-14.73996,16.57,0.09,14.5,0.07,2.07,0.114017543
4483,5,296.2664,-14.7796,16.53,0.06,14.53,0.08,2,0.1
4485,5,296.28598,-14.80457,16.14,0.14,12.76,0.02,3.38,0.141421356
4540,5,296.34634,-14.685,16.72,0.04,14.1,0.12,2.62,0.126491106
4587,5,296.14104,-14.70997,16.56,0.08,13.26,0.07,3.3,0.106301458
4605,5,296.13087,-14.69711,16.86,0.09,13.75,0.08,3.11,0.120415946
4668,5,296.32144,-14.63446,16.93,0.06,14.58,0.05,2.35,0.078102497
4673,5,296.24169,-14.79595,16.17,0.04,13.56,0.1,2.61,0.107703296
4676,5,296.29866,-14.72066,16.34,0.05,13.12,0.04,3.22,0.064031242
4690,5,296.13185,-14.74239,16.96,0.07,13.52,0.11,3.44,0.130384048
4705,5,296.08908,-14.96398,16.75,0.09,14.17,0.07,2.58,0.114017543
4736,5,296.24274,-14.83763,16.64,0.06,13.19,0.02,3.45,0.063245553
4745,5,296.13958,-14.70411,16.36,0.11,12.78,0.13,3.58,0.170293864
4760,5,296.29841,-14.72043,16.34,0.05,13.12,0.04,3.22,0.064031242
4776,5,296.34438,-14.89095,16.55,0.05,14.35,0.06,2.2,0.078102497
4840,5,296.13207,-14.78762,17.36,0.07,14.07,0.06,3.29,0.092195445
4848,5,296.13311,-14.70186,16.94,0.09,14.75,0.07,2.19,0.114017543
4877,5,296.23175,-14.84139,16.39,0.06,14.67,0.11,1.72,0.125299641
4885,5,296.15018,-14.83804,16.82,0.07,14.55,0.05,2.27,0.086023253
5018,5,296.41024,-14.76062,17.16,0.13,14.63,0.11,2.53,0.170293864
5026,5,296.31555,-14.6341,17.56,0.1,14.39,0.06,3.17,0.116619038
5052,5,296.39095,-14.74546,17.09,0.1,13.83,0.04,3.26,0.107703296
5077,5,296.25212,-14.79961,16.46,0.04,14.27,0.09,2.19,0.098488578
5118,5,296.13682,-14.81088,16.95,0.1,14.25,0.05,2.7,0.111803399
5219,5,296.22981,-14.84035,16.3,0.06,14.1,0.1,2.2,0.116619038
5235,5,296.33108,-14.83621,17.38,0.05,13.56,0.04,3.82,0.064031242
5237,5,296.24624,-14.79143,16.69,0.09,14.68,0.12,2.01,0.15
5243,5,296.06773,-14.9187,16.82,0.07,14.22,0.09,2.6,0.114017543
5286,5,296.2754,-14.80738,16.94,0.05,14.3,0.04,2.64,0.064031242
5315,5,296.22817,-14.81257,16.88,0.04,14.62,0.05,2.26,0.064031242
5317,5,296.23728,-14.79473,16.51,0.03,13.54,0.08,2.97,0.085440037
5331,5,296.26404,-14.77926,16.45,0.04,14.29,0.07,2.16,0.080622577
5339,5,296.35367,-14.74815,17.42,0.06,14.84,0.06,2.58,0.084852814
5364,5,296.27311,-14.71823,16.89,0.08,13.7,0.12,3.19,0.144222051
5372,5,296.24491,-14.79091,16.54,0.06,14.42,0.08,2.12,0.1
5388,5,296.25209,-14.76804,16.56,0.03,13.76,0.03,2.8,0.042426407
5410,5,296.0875,-14.9031,17.05,0.06,14.34,0.04,2.71,0.072111026
