ID,RA,Dec,k36mag,e36mag,Jmag,eJmag,jMINUSthreesix,ERRORjMINUSthreesix
12136,296.41102,-14.85767,17.32,0.07,18.498,0.064,1.178,0.094847246
12137,296.34275,-14.69657,17.44,0.05,18.538,0.081,1.098,0.095189285
12138,296.16399,-14.75781,17.54,0.06,18.666,0.092,1.126,0.109836242
12139,296.34583,-14.86155,17.41,0.07,18.537,0.067,1.127,0.096896852
12140,296.14207,-14.82252,17.62,0.08,19.039,0.126,1.419,0.149251466
12142,296.13781,-14.94983,17.83,0.07,19.168,0.138,1.338,0.154738489
12143,296.04027,-14.78188,17.51,0.07,18.773,0.115,1.263,0.13462912
12146,296.23978,-14.70882,17.49,0.04,18.557,0.08,1.067,0.089442719
12149,296.22234,-14.77151,17.43,0.08,18.696,0.096,1.266,0.124963995
12150,296.37017,-14.89725,17.55,0.07,18.91,0.091,1.36,0.114808536
12151,296.24755,-14.84406,17.42,0.08,18.837,0.107,1.417,0.13360015
12152,296.2771,-14.68544,17.59,0.06,18.615,0.083,1.025,0.102415819
12153,296.25646,-14.85251,17.45,0.05,18.513,0.081,1.063,0.095189285
12155,296.33728,-14.74194,17.32,0.04,18.427,0.061,1.107,0.072945185
12161,296.35203,-14.79003,17.32,0.08,18.436,0.061,1.116,0.100603181
12162,296.41789,-14.82641,17.77,0.06,18.555,0.067,0.785,0.089938868
12165,296.40473,-14.73421,17.4,0.09,18.152,0.049,0.752,0.102474387
12166,296.21225,-14.76484,17.35,0.05,18.544,0.084,1.194,0.097754795
12167,296.31919,-14.78382,16.85,0.11,18.687,0.076,1.837,0.133701159
12168,296.37442,-14.89286,17.43,0.05,18.623,0.072,1.193,0.087658428
12169,296.17847,-14.94822,17.61,0.05,18.816,0.103,1.206,0.114494541
12170,296.36697,-14.78156,17.51,0.06,18.134,0.048,0.624,0.076837491
12173,296.22695,-14.89708,17.54,0.06,18.35,0.071,0.81,0.092956979
12174,296.34311,-14.77035,17.41,0.07,18.361,0.058,0.951,0.090906545
12175,296.12556,-14.80949,17.75,0.09,18.118,0.059,0.368,0.107615055
12176,296.25931,-14.86705,17.37,0.06,18.589,0.086,1.219,0.104861814
12178,296.18028,-14.74132,17.75,0.09,19.128,0.135,1.378,0.162249807
12179,296.41277,-14.73512,17.83,0.07,18.726,0.078,0.896,0.10480458
12181,296.19607,-14.82019,17.42,0.07,18.928,0.116,1.508,0.135484316
12186,296.0671,-14.85201,17.29,0.06,18.456,0.088,1.166,0.106508216
