ID,RA,Dec,k80mag,e80mag,k24mag,e24mag,eightzeroMINUStwentyfour,ERROReightzeroMINUStwentyfour
340,296.23266,-14.81688,13.68,0.06,12.41,-9999,1.27,9999
341,296.35939,-14.73603,13.64,0.03,12.48,-9999,1.16,9999
342,296.28421,-14.81188,13.07,0.02,10.94,-9999,2.13,9999
343,296.24127,-14.80232,13.73,0.08,11.79,-9999,1.94,9999
344,296.23652,-14.85692,12.53,0.04,11.63,0.22,0.9,0.223606798
345,296.41378,-14.90101,13.66,0.08,11.04,0.2,2.62,0.215406592
346,296.26704,-14.76307,13.19,0.04,11.35,0.2,1.84,0.203960781
347,296.09399,-14.94788,12.79,0.05,11.67,0.12,1.12,0.13
348,296.18379,-14.68244,12.39,0.02,10.57,0.06,1.82,0.063245553
349,296.1986,-14.79648,13.73,0.06,12.41,-9999,1.32,9999
350,296.24753,-14.82685,13.05,0.05,11.12,0.14,1.93,0.148660687
351,296.24298,-14.83828,12.61,0.04,11.44,0.24,1.17,0.243310501
352,296.24255,-14.85745,13.75,0.03,13.16,-9999,0.59,9999
353,296.06026,-14.70829,13.56,0.05,12.78,0.22,0.78,0.225610283
354,296.15736,-14.87162,13.71,0.03,12.61,-9999,1.1,9999
355,296.29008,-14.63943,13.77,0.05,12.19,0.26,1.58,0.264764046
356,296.24114,-14.8189,12.06,0.02,10.64,0.1,1.42,0.10198039
357,296.22206,-14.83405,13.48,0.03,12.01,-9999,1.47,9999
358,296.38925,-14.82578,13.82,0.03,12.61,-9999,1.21,9999
359,296.33015,-14.7458,13.67,0.03,12.72,-9999,0.95,9999
360,296.37727,-14.72669,13.61,0.09,12.21,0.25,1.4,0.265706605
361,296.09812,-14.78564,12.68,0.04,11.59,0.21,1.09,0.213775583
362,296.19589,-14.92568,13.61,0.1,10.11,0.09,3.5,0.13453624
363,296.42593,-14.82409,13.63,0.03,12.35,-9999,1.28,9999
