ID,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
6354,296.12165,-14.70255,17.991,0.05,16.98,0.036,1.011,0.061611687
6366,296.23109,-14.89073,17.845,0.047,16.874,0.037,0.971,0.059816386
6369,296.29249,-14.851,18.095,0.056,17.171,0.048,0.924,0.073756356
6370,296.16364,-14.8292,17.97,0.052,16.954,0.04,1.016,0.065604878
6379,296.19936,-14.84476,17.928,0.05,16.912,0.039,1.016,0.063411355
6380,296.23194,-14.88154,17.936,0.05,16.954,0.04,0.982,0.064031242
6382,296.28043,-14.73075,17.663,0.04,16.657,0.035,1.006,0.053150729
6396,296.24473,-14.89387,17.986,0.052,17.041,0.043,0.945,0.067475922
6400,296.1387,-14.9489,17.788,0.044,16.822,0.039,0.966,0.058796258
6413,296.37645,-14.64902,17.997,0.051,17.008,0.036,0.989,0.062425956
6431,296.15087,-14.81203,17.809,0.046,16.736,0.034,1.073,0.057201399
6432,296.12715,-14.77428,17.812,0.045,16.834,0.037,0.978,0.058258047
6435,296.38883,-14.71969,18.058,0.045,17.141,0.044,0.917,0.062936476
6437,296.12677,-14.95514,18.042,0.055,17.081,0.049,0.961,0.073661387
6441,296.04852,-14.6842,18.053,0.057,17.111,0.04,0.942,0.069634761
6442,296.21722,-14.85839,18.019,0.054,17.055,0.044,0.964,0.069656299
6444,296.16139,-14.84129,17.899,0.049,16.838,0.037,1.061,0.061400326
6445,296.14164,-14.83246,17.981,0.052,16.887,0.038,1.094,0.064404969
6458,296.21042,-14.8105,17.859,0.048,16.798,0.035,1.061,0.059405387
6461,296.16087,-14.68852,17.799,0.042,16.865,0.033,0.934,0.053413481
6463,296.23411,-14.79839,17.945,0.051,16.952,0.04,0.993,0.064815122
6467,296.40258,-14.84562,17.943,0.041,16.875,0.035,1.068,0.053907328
6475,296.14921,-14.85575,18.045,0.055,16.987,0.041,1.058,0.068600292
6482,296.21071,-14.79164,17.901,0.049,16.952,0.04,0.949,0.063253458
6484,296.29485,-14.71647,17.99,0.049,17.007,0.037,0.983,0.061400326
6487,296.23313,-14.7401,18.013,0.054,17.082,0.045,0.931,0.070292247
6500,296.08731,-14.91581,17.925,0.056,16.962,0.041,0.963,0.069404611
6502,296.34353,-14.84728,17.905,0.04,16.885,0.036,1.02,0.053814496
6507,296.41293,-14.74403,18.142,0.048,17.187,0.046,0.955,0.066483081
6516,296.22723,-14.68184,17.927,0.047,16.994,0.037,0.933,0.059816386
6517,296.19439,-14.80179,18.099,0.058,17.1,0.046,0.999,0.074027022
6544,296.05833,-14.83162,17.962,0.058,17.058,0.043,0.904,0.072201108
6545,296.28617,-14.73407,18.096,0.057,17.07,0.051,1.026,0.076485293
6549,296.38642,-14.89656,17.889,0.04,16.96,0.038,0.929,0.055172457
6550,296.32815,-14.64073,18.106,0.056,17.079,0.039,1.027,0.068242216
6553,296.11672,-14.85354,18.165,0.061,17.253,0.052,0.912,0.080156098
6556,296.2891,-14.91018,18.049,0.054,17.088,0.045,0.961,0.070292247
6558,296.33199,-14.88278,17.957,0.042,16.851,0.035,1.106,0.054671748
6560,296.26082,-14.89254,17.952,0.051,16.985,0.041,0.967,0.065436993
6561,296.08085,-14.94087,18.071,0.063,17.147,0.045,0.924,0.077420927
6588,296.25259,-14.85921,18.015,0.053,17.033,0.043,0.982,0.068249542
6590,296.28084,-14.72629,18.015,0.053,17.061,0.05,0.954,0.072862885
6593,296.29415,-14.80588,18.085,0.056,17.039,0.044,1.046,0.071217975
6597,296.24715,-14.799,18.188,0.062,17.28,0.053,0.908,0.081565924
6611,296.3289,-14.90366,17.888,0.04,16.837,0.034,1.051,0.052497619
6612,296.23616,-14.84038,18.112,0.059,17.16,0.048,0.952,0.076059187
