ID,CMD1region,RA,Dec,Jmag,eJmag,Kmag,eKmag,jMINUSk,ERRORjMINUSk
2930,1,296.08301,-14.9133,16.16,0.015,15.788,0.016,0.372,0.021931712
2938,1,296.1512,-14.92569,15.943,0.011,15.549,0.013,0.394,0.017029386
2940,1,296.3813,-14.85306,16.438,0.014,16.108,0.019,0.33,0.023600847
2944,1,296.29827,-14.93452,16.198,0.013,15.577,0.013,0.621,0.018384776
2945,1,296.3633,-14.73804,16.407,0.014,15.922,0.016,0.485,0.021260292
2956,1,296.31082,-14.79499,16.341,0.015,15.967,0.02,0.374,0.025
2957,1,296.10636,-14.80983,16.485,0.017,15.944,0.018,0.541,0.024758837
2962,1,296.20944,-14.89536,16.222,0.014,15.961,0.018,0.261,0.022803509
2963,1,296.30355,-14.74088,16.521,0.017,16.082,0.025,0.439,0.030232433
2965,1,296.15442,-14.7124,16.46,0.015,15.876,0.015,0.584,0.021213203
2967,1,296.33907,-14.74389,16.578,0.016,15.989,0.017,0.589,0.023345235
2975,1,296.05172,-14.71341,16.188,0.014,15.789,0.014,0.399,0.01979899
2976,1,296.37721,-14.73793,16.357,0.013,15.833,0.015,0.524,0.019849433
2979,1,296.39556,-14.68012,16.491,0.015,15.943,0.015,0.548,0.021213203
2988,1,296.31555,-14.92321,16.392,0.015,16.184,0.021,0.208,0.025806976
2993,1,296.19,-14.78291,16.488,0.017,16.065,0.019,0.423,0.025495098
2994,1,296.09721,-14.94164,16.177,0.013,15.863,0.017,0.314,0.021400935
2999,1,296.3304,-14.88957,16.401,0.014,15.98,0.017,0.421,0.022022716
3004,1,296.29174,-14.81376,16.282,0.014,16.068,0.02,0.214,0.024413111
3006,1,296.3464,-14.91856,16.236,0.013,15.73,0.014,0.506,0.019104973
3009,1,296.39903,-14.8079,16.472,0.014,16.118,0.019,0.354,0.023600847
3011,1,296.28464,-14.75433,16.559,0.017,15.976,0.019,0.583,0.025495098
3012,1,296.12597,-14.74988,16.402,0.016,15.885,0.017,0.517,0.023345235
3016,1,296.33081,-14.87799,16.215,0.012,15.842,0.015,0.373,0.019209373
3018,1,296.1632,-14.86555,16.525,0.017,15.933,0.018,0.592,0.024758837
3023,1,296.18346,-14.74705,16.02,0.012,15.986,0.018,0.034,0.021633308
